60
1000
0 33 28 35 18 5 37 35 25 38 47 31 23 37 25 16 33 36 22 34 2 34 21 23 41 23 21 21 32 10 22 10 14 12 24 14 9 39 15 35 52 31 18 35 9 17 35 16 28 17 15 39 28 22 27 22 46 19 35 31 
33 0 9 34 17 31 6 15 18 16 14 13 12 11 12 48 38 8 23 12 31 24 26 32 8 32 32 19 10 42 14 25 19 38 9 45 30 40 34 20 20 4 15 34 30 27 33 20 14 34 22 10 9 31 29 12 13 39 17 25 
28 9 0 26 15 28 10 21 10 12 19 6 5 19 14 43 30 8 25 7 27 29 27 23 14 24 33 11 16 36 7 22 15 35 8 39 23 32 27 13 24 5 12 38 27 20 37 13 6 33 15 11 14 32 20 11 19 31 23 17 
35 34 26 0 34 38 32 46 17 22 39 20 25 44 38 43 7 28 45 23 34 53 47 12 35 13 50 19 41 36 24 35 30 46 31 37 26 6 22 16 42 30 30 60 40 18 59 24 20 48 22 30 38 51 9 33 40 21 48 9 
18 17 15 34 0 15 22 18 18 27 31 20 11 19 8 33 36 22 11 22 16 20 13 27 25 27 18 15 14 27 12 9 6 21 8 31 18 40 24 27 36 16 4 26 13 20 25 11 19 19 14 25 11 18 27 5 29 30 18 27 
5 31 28 38 15 0 36 31 26 38 45 31 23 34 22 19 37 35 17 34 5 29 17 27 39 27 16 22 29 14 22 7 13 9 23 18 13 42 20 36 50 30 17 30 4 20 29 16 29 12 17 38 25 17 29 19 44 24 30 33 
37 6 10 32 22 36 0 20 19 12 10 12 15 15 18 52 38 4 29 9 36 30 32 32 4 33 38 20 15 46 16 30 24 43 14 49 33 38 36 17 15 7 20 40 35 29 39 23 14 40 25 4 15 37 29 18 9 41 22 23 
35 15 21 46 18 31 20 0 30 30 24 27 22 6 10 50 50 23 16 26 33 11 19 42 19 42 24 28 6 44 23 25 23 35 16 48 35 52 41 34 28 17 19 21 28 36 21 27 27 29 30 24 8 23 40 16 21 47 3 38 
25 18 10 17 18 26 19 30 0 15 28 8 8 28 21 37 21 16 29 11 23 36 31 14 23 15 35 4 24 31 7 21 15 34 14 33 17 23 19 10 33 15 14 44 27 11 43 10 5 34 10 19 22 35 11 16 28 22 32 9 
38 16 12 22 27 38 12 30 15 0 17 7 16 26 25 52 29 8 36 5 37 40 39 26 14 27 44 18 25 45 16 33 26 46 19 47 31 28 33 7 20 13 23 49 38 25 48 23 10 45 24 8 24 44 21 23 18 36 33 14 
47 14 19 39 31 45 10 24 28 17 0 20 24 18 25 62 45 12 36 17 45 34 39 41 6 42 45 29 21 55 26 39 33 52 23 58 42 45 46 24 6 16 29 45 44 38 44 32 23 48 34 9 22 44 37 26 3 50 27 30 
31 13 6 20 20 31 12 27 8 7 20 0 10 24 21 45 26 8 30 4 30 35 33 21 16 22 38 11 22 38 9 26 19 39 14 40 24 27 26 7 25 10 17 44 32 19 43 16 3 38 17 11 20 38 17 17 20 30 29 12 
23 12 5 25 11 23 15 22 8 16 24 10 0 20 13 38 29 13 22 11 22 28 24 20 18 21 29 7 16 31 2 17 10 30 6 34 18 31 22 16 30 9 7 36 22 16 35 8 8 29 11 16 14 29 19 8 24 27 23 17 
37 11 19 44 19 34 15 6 28 26 18 24 20 0 12 52 48 18 20 22 35 16 23 41 14 41 29 27 5 46 22 27 24 38 15 50 36 50 42 30 22 14 20 27 31 36 26 27 24 33 30 19 9 28 38 16 16 47 8 35 
25 12 14 38 8 22 18 10 21 25 25 21 13 12 0 40 41 19 12 21 23 16 14 32 20 33 20 19 7 35 14 16 13 27 7 39 25 44 31 27 30 13 9 24 20 26 23 17 20 23 20 21 4 20 31 5 24 37 11 30 
16 48 43 43 33 19 52 50 37 52 62 45 38 52 40 0 39 50 35 48 17 48 34 31 56 30 32 34 47 7 37 25 29 19 40 6 21 45 21 47 67 46 34 47 22 28 46 30 42 26 28 54 44 33 36 37 61 22 49 42 
33 38 30 7 36 37 38 50 21 29 45 26 29 48 41 39 0 34 47 29 33 56 48 11 41 11 51 22 45 33 27 36 31 45 34 33 24 6 19 22 49 35 33 62 40 17 61 26 24 48 23 36 42 51 10 36 45 17 52 15 
36 8 8 28 22 35 4 23 16 8 12 8 13 18 19 50 34 0 30 5 34 32 33 29 8 30 39 18 18 44 14 29 23 43 14 47 31 34 34 13 17 7 19 42 35 26 41 21 10 40 23 4 17 38 25 18 12 38 25 19 
22 23 25 45 11 17 29 16 29 36 36 30 22 20 12 35 47 30 0 31 20 13 3 36 31 37 9 26 16 31 23 13 16 19 17 35 26 50 33 37 41 24 15 16 13 30 15 21 29 13 24 33 14 8 37 14 35 38 15 38 
34 12 7 23 22 34 9 26 11 5 17 4 11 22 21 48 29 5 31 0 32 35 34 24 13 25 39 14 21 41 12 28 21 41 14 43 27 29 30 8 22 9 18 44 34 22 44 18 6 40 20 8 20 39 20 18 17 33 28 14 
